Conflict_Factor,Mean,Std_Deviation,Rank,Normalized_Weight
Design_Ambiguity,3.69811320754717,1.218209683548541,1,0.09799999999999999
Site_Conditions,3.641509433962264,1.093588651793884,2,0.09649999999999999
Contract_Rigidity,3.528301886792453,1.084927746351831,3,0.0935
Poor_Workmanship,3.509433962264151,1.295296840191081,4,0.093
Leadership_Issues,3.471698113207547,1.170203361434138,5,0.09199999999999998
Contract_Ambiguity,3.471698113207547,1.202621712773736,6,0.09199999999999998
Material_Cost_Escalation,3.433962264150944,1.152078956333091,7,0.09100000000000001
Unrealistic_Expectations,3.320754716981132,1.23683194719506,8,0.08799999999999998
Payment_Delay,3.30188679245283,1.186217415218795,9,0.0875
Trust_Deficit,3.188679245283019,1.177621523593293,10,0.08449999999999999
Cost_Estimation_Error,3.169811320754717,1.204731841477337,11,0.084
