feature,importance
Experience_0-5 years,0.041981225202555345
construction,0.03009071587183189
Role_Project Manager / Engineer,0.02445069724741778
help,0.022991500409115146
Project_Sector_Industrial,0.021516268524585814
Project_Sector_Residential,0.020872762761263996
Experience_21+ years,0.019552058674424496
delay,0.01941207695598775
dispute,0.01897115062168663
Role_Consultant / Project Management,0.015751432647482917
no_response,0.015605932648785698
Experience_6-10 years,0.015077970485615252
data,0.014969998196876399
relevant,0.01400265873343404
disputes,0.013771906074024447
topic,0.013595576589973849
topic relevant,0.013437388413425143
dispute resolution,0.01321836703754331
analytics help,0.013214743819455314
order,0.01284332645439982
current construction,0.01278877333406692
contractor,0.012323329454062268
analytics,0.012141969925251453
research topic,0.01194092515364297
research,0.01169264690453053
help improve,0.011462554729181796
resolution,0.011211906183559744
construction disputes,0.011123324666068924
improve,0.01100338717931266
Role_Contractor / Subcontractor,0.010644540790412138
