feature,importance
Role_Project Manager / Engineer,0.04662829424643327
Experience_0-5 years,0.03338915082386711
Role_Consultant / Project Management,0.03197610470043054
help,0.029943615507917146
dispute,0.02734630241913177
no_response,0.023401308950288646
delay,0.021456916698446085
topic,0.01865054128594592
construction,0.016542950758829687
Project_Sector_Residential,0.015944129506797185
Role_Contractor / Subcontractor,0.014786774210109549
disputes,0.014466995692915279
topic relevant,0.014058118791500176
research topic,0.0138976684657671
relevant,0.013856529616563893
research,0.013573477932659256
Project_Sector_Industrial,0.013515962812129315
Experience_6-10 years,0.013347203309273215
data,0.01310668844051001
relevant current,0.012984655764879375
help improve,0.012964662176980047
created,0.012713142096915955
order,0.012289698576326563
construction disputes,0.011823068520982269
current construction,0.01077210898766764
dispute resolution,0.010673107755044367
contractor,0.010573861070696302
data analytics,0.010505793375166321
disagreement,0.010466730943005821
improve,0.010339357211801176
